ID,Race_Diversity,Income_Diversity,Talent_Index,Young_People,Median_Age,Poverty,Unemployment,Median_Income
14000US48001950100,0.5502333105487274,0.5088248940186475,0.1471057884231537,0.15601023017902813,194,0.05201813080077704,48.671052631578945,52099
14000US48001950401,0.6243543516943815,0.45785866856532564,0.026437847866419294,0.4992063492063492,6,0.05029585798816568,0,43529
14000US48001950402,0.6259351000630102,0.6103989745233136,0.023265958993747275,0.3100236340886973,0,0.11764705882352941,0,83073
14000US48001950500,0.6143073133537877,0.4061247299969146,0.09804832713754646,0.20790598290598292,168,0.08644400785854617,93.97297297297297,31000
14000US48001950600,0.6235359908667182,0.463753019498498,0.056394095206501904,0.23191293684855915,233,0.040380417835983784,85.35714285714286,50116
14000US48001950700,0.63801578479767,0.39854124403108526,0.07950150408250967,0.2091816367265469,53,0.11843817787418655,326.6666666666667,30541
14000US48001950800,0.6367940409056476,0.4809679320351151,0.1776302137372899,0.23394495412844038,130,0.062026326286398085,80.3061224489796,51750
14000US48001950901,0.5781042762081172,0.4839566635301764,0.07834405409863104,0.13170563961485557,169,0.05523565792279804,106.34782608695652,42264
14000US48001950902,0.5565480434183017,0.4755152422658757,0.09501714746822675,0.13156788566624633,127,0.04174573055028463,93.42105263157895,40906
14000US48001951000,0.5303974896392227,0.5074415007784903,0.09753862267609321,0.14497369149819994,166,0.05118778280542986,160.13888888888889,42194
14000US48001951100,0.5617737133175709,0.5007425499060691,0.08826627343585422,0.11806839186691312,103,0.04066543438077634,70.92156862745098,50915
14000US48003950100,0.5219906149529208,0.5542397961391966,0.1917372881355932,0.14477335800185015,77,0.012025901942645698,12.728813559322035,97604
14000US48003950200,0.5423477923614636,0.5315102131413119,0.07455012853470437,0.2221598090155877,224,0.04280432309442549,60.634408602150536,76151
14000US48003950300,0.5427496712118947,0.5470418282581634,0.040711782151523324,0.22027899229648137,187,0.0334267845589821,0,55833
14000US48003950400,0.5161878573629652,0.5338809306470973,0.025791707476330396,0.20549696388622563,94,0.02237136465324385,29.759493670886076,57419
14000US48005000101,0.5378226898435918,0.5298868455088896,0.08211528986697324,0.1779716825814949,229,0.04236157438292195,260.3333333333333,52806
14000US48005000102,0.5458454830484676,0.5442063648168487,0.12824565364642132,0.18520820385332504,263,0.03625440232028175,87.5,51288
14000US48005000200,0.5800835878060142,0.4636371555538584,0.0838680109990834,0.18402877697841727,203,0.0856115107913669,0,42011
14000US48005000301,0.5587485102404197,0.4931504974868165,0.10077373089262125,0.13377278014734392,82,0.06423854312587553,272.06666666666666,46603
14000US48005000302,0.5772727914327156,0.4880905023488239,0.12778020061055387,0.19069866213633468,121,0.06030257830811848,44.922077922077925,41455
14000US48005000400,0.6035009305598278,0.4384745510768052,0.098743961352657,0.148860547773364,142,0.06462284958094398,297.61538461538464,36588
14000US48005000500,0.611769624553311,0.3276973538862161,0.037907100907634814,0.22068200720820627,61,0.16898213779415935,0,21851
14000US48005000600,0.6308342507402482,0.45848052483041024,0.03787255063395357,0.23328013927172495,162,0.06133916029342906,275.22222222222223,36978
14000US48005000700,0.6488276891729617,0.43866497475304755,0.046224961479198766,0.29462312791554135,140,0.07489529440748953,0,37339
14000US48005000800,0.593711170168297,0.5174026817399074,0.13683538240459844,0.18695720827411969,183,0.04752881730617401,149.96774193548387,50871
14000US48005000901,0.6121125622306125,0.4805409398120163,0.2466997870830376,0.2203757225433526,451,0.05070754716981132,31.514792899408285,48021
14000US48005000902,0.6066239997036318,0.4834930273762521,0.29231675007359437,0.27714033539276256,189,0.08766437069505323,22.496124031007753,54744
14000US48005001001,0.6255430485750697,0.45209891029106164,0.06309335443037975,0.17800369685767098,189,0.08556773140592212,4173.0,42978
14000US48005001002,0.570855610355627,0.5025902584783625,0.0923149015932521,0.17203000241954997,33,0.04548753931768691,96.17647058823529,46713
14000US48005001100,0.5249580286339284,0.5102029417685616,0.0698503207412687,0.14909544603867747,162,0.045086521670106364,52.11764705882353,58864
14000US48005001200,0.5566371553827898,0.4436791271577796,0.025969529085872575,0.15360717984121505,20,0.06807187284035937,253.0,37778
14000US48005001300,0.5311888077026417,0.463825716214714,0.04925431711145997,0.18350068911202994,165,0.0568362480127186,0,42019
14000US48007950100,0.5382471299868541,0.46140500034426957,0.1275340393343419,0.10926589922626911,22,0.049352134146341466,86.9074074074074,40431
14000US48007950200,0.5320591807695637,0.5715307474493092,0.3398363750786658,0.09210526315789473,21,0.013157894736842105,10.912621359223301,88854
14000US48007950300,0.5743315352813045,0.5174496407921496,0.16816781227779096,0.12416427889207259,133,0.023262451833880406,29.0,61318
14000US48007950400,0.5498668508425144,0.4151248266896498,0.07671170139683993,0.19214461057799598,73,0.10973654066437571,221.4,32500
14000US48007950500,0.5499370221063427,0.45190727191932645,0.08453264656870171,0.14803247970018737,136,0.07069127306850172,40.45454545454545,41675
14000US48007990000,1,1,0,0,0,0,0,
14000US48009020100,0.5281536521130307,0.5618046964502053,0.21413406126781923,0.10808011049723756,40,0.010704419889502763,48.08163265306123,85227
14000US48009020200,0.5246566561671955,0.5203280803592654,0.10626911314984709,0.1553398058252427,38,0.04409385113268608,58.638888888888886,56842
14000US48009020300,0.5276319811182518,0.49431996288150937,0.10380205190102595,0.17504435245416913,135,0.04689403166869671,100.5,46453
14000US48011950100,0.5352633055969158,0.5485802661718704,0.1528724440116845,0.1228437009932044,47,0.03802281368821293,191.25,65000
14000US48013960100,0.5305370552517563,0.5141967790573453,0.1314324507807196,0.17933491686460806,285,0.0570216151704018,52.638888888888886,57793
14000US48013960201,0.5268850786326912,0.558141686762277,0.07941091539127924,0.18308756361738224,304,0.0265311510031679,117.55102040816327,59778
14000US48013960202,0.5524397338317585,0.5212773018994876,0.0872072072072072,0.145490730072274,149,0.04923012464648581,146.97826086956522,50716
14000US48013960300,0.5187932590426689,0.4103326311461404,0.02304147465437788,0.2499347088012536,141,0.06781456953642384,362.375,35056
14000US48013960401,0.5500938116631053,0.5110528020732102,0.06644359464627152,0.21094439541041482,49,0.041666666666666664,0,47350
14000US48013960402,0.5418960202267231,0.5554833116971762,0.14701149425287358,0.2183055791904704,376,0.04527213443691999,68.0,72500
14000US48013960500,0.5290713635384305,0.42009795918367343,0.02952029520295203,0.1491628614916286,63,0.07129168263702568,0,31654
14000US48013960600,0.5170394555032213,0.5076595599250402,0.08102493074792244,0.19926322839919625,125,0.04395044968606822,63.4,55625
14000US48015760100,0.6038735388026402,0.49345525093893594,0.06997654417513682,0.15729421352893236,121,0.04064039408866995,197.3,52955
14000US48015760200,0.604900721780622,0.4959054073241085,0.1352405721716515,0.14488981433281278,92,0.07728706624605679,32.5968992248062,50809
14000US48015760300,0.5647024844736228,0.5357984949273326,0.11671195652173913,0.193367903930131,146,0.02822525127357841,68.36046511627907,73079
14000US48015760400,0.5538878400784224,0.5223542248584641,0.14301399945100193,0.12404287901990811,50,0.06705809641532756,198.42857142857142,51813
14000US48015760501,0.5378793137402846,0.5354053436129036,0.20416588478138487,0.127445049405122,102,0.03392299687825182,27.98581560283688,85294
